name,description,packagelist,default,uservisible
"Conflicts (Server),冲突（服务器）","This group includes packages conflicting with @everything installation on the Server variant.,这个组群包含与 @everything 服务器变体安装冲突的软件包。","{""libcmpiCppImpl0"": ""mandatory""}",false,false
"Conflicts (Workstation),冲突（工作站）","This group includes packages conflicting with @everything installation on the Workstation variant.,这个组群包含与 @everything 工作站变体安装冲突的软件包。","{""libcmpiCppImpl0"": ""mandatory""}",false,false
"Console Internet Tools,控制台互联网工具","Console internet access tools, often used by administrators.,控制台互联网访问工具，通常由管理员使用。","{""elinks"": ""optional"", ""fetchmail"": ""optional"", ""ftp"": ""optional"", ""irssi"": ""optional"", ""lftp"": ""optional"", ""mutt"": ""optional"", ""procmail"": ""optional"", ""whois"": ""optional""}",false,true
"Core,核心","Smallest possible installation.,最小可能安装。","{""audit"": ""mandatory"", ""basesystem"": ""mandatory"", ""bash"": ""mandatory"", ""btrfs-progs"": ""mandatory"", ""coreutils"": ""mandatory"", ""cronie"": ""mandatory"", ""curl"": ""mandatory"", ""dhclient"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""filesystem"": ""mandatory"", ""firewalld"": ""mandatory"", ""glibc"": ""mandatory"", ""hostname"": ""mandatory"", ""initscripts"": ""mandatory"", ""iproute"": ""mandatory"", ""iprutils"": ""mandatory"", ""iptables"": ""mandatory"", ""iputils"": ""mandatory"", ""irqbalance"": ""mandatory"", ""kbd"": ""mandatory"", ""kexec-tools"": ""mandatory"", ""less"": ""mandatory"", ""man-db"": ""mandatory"", ""ncurses"": ""mandatory"", ""openssh-clients"": ""mandatory"", ""openssh-server"": ""mandatory"", ""parted"": ""mandatory"", ""passwd"": ""mandatory"", ""plymouth"": ""mandatory"", ""policycoreutils"": ""mandatory"", ""procps-ng"": ""mandatory"", ""rootfiles"": ""mandatory"", ""rpm"": ""mandatory"", ""rsyslog"": ""mandatory"", ""selinux-policy-targeted"": ""mandatory"", ""setup"": ""mandatory"", ""shadow-utils"": ""mandatory"", ""sudo"": ""mandatory"", ""systemd"": ""mandatory"", ""tar"": ""mandatory"", ""tuned"": ""mandatory"", ""util-linux"": ""mandatory"", ""vim-minimal"": ""mandatory"", ""xfsprogs"": ""mandatory"", ""yum"": ""mandatory"", ""aic94xx-firmware"": ""default"", ""alsa-firmware"": ""default"", ""biosdevname"": ""default"", ""dracut-config-rescue"": ""default"", ""ivtv-firmware"": ""default"", ""iwl100-firmware"": ""default"", ""iwl1000-firmware"": ""default"", ""iwl105-firmware"": ""default"", ""iwl135-firmware"": ""default"", ""iwl2000-firmware"": ""default"", ""iwl2030-firmware"": ""default"", ""iwl3160-firmware"": ""default"", ""iwl3945-firmware"": ""default"", ""iwl4965-firmware"": ""default"", ""iwl5000-firmware"": ""default"", ""iwl5150-firmware"": ""default"", ""iwl6000-firmware"": ""default"", ""iwl6000g2a-firmware"": ""default"", ""iwl6000g2b-firmware"": ""default"", ""iwl6050-firmware"": ""default"", ""iwl7260-firmware"": ""default"", ""kernel-tools"": ""default"", ""libsysfs"": ""default"", ""linux-firmware"": ""default"", ""lshw"": ""default"", ""microcode_ctl"": ""default"", ""NetworkManager"": ""default"", ""NetworkManager-team"": ""default"", ""NetworkManager-tui"": ""default"", ""postfix"": ""default"", ""sg3_utils"": ""default"", ""sg3_utils-libs"": ""default"", ""dracut-config-generic"": ""optional"", ""dracut-fips"": ""optional"", ""dracut-fips-aesni"": ""optional"", ""dracut-network"": ""optional"", ""initial-setup"": ""optional"", ""openssh-keycat"": ""optional"", ""rdma-core"": ""optional"", ""selinux-policy-mls"": ""optional"", ""tboot"": ""optional""}",false,false
"Debugging Tools,调试工具","Tools for debugging misbehaving applications and diagnosing performance problems.,调试行为异常程序以及诊断性能问题的工具。","{""gdb"": ""mandatory"", ""kexec-tools"": ""mandatory"", ""latrace"": ""mandatory"", ""libreport-cli"": ""mandatory"", ""strace"": ""mandatory"", ""systemtap-runtime"": ""mandatory"", ""abrt-addon-ccpp"": ""default"", ""abrt-addon-python"": ""default"", ""abrt-cli"": ""default"", ""crash"": ""default"", ""crash-gcore-command"": ""default"", ""crash-ptdump-command"": ""default"", ""crash-trace-command"": ""default"", ""elfutils"": ""default"", ""kernel-tools"": ""default"", ""libreport-plugin-mailx"": ""default"", ""ltrace"": ""default"", ""memstomp"": ""default"", ""ps_mem"": ""default"", ""trace-cmd"": ""default"", ""valgrind"": ""default"", ""abrt-java-connector"": ""optional"", ""gdb-gdbserver"": ""optional"", ""glibc-utils"": ""optional"", ""memtest86+"": ""optional"", ""systemtap-client"": ""optional"", ""systemtap-initscript"": ""optional""}",false,false
"Desktop Debugging and Performance Tools,桌面调试和运行工具","GUI tools for debugging applications and performance.,调试应用程序和性能的 GUI 工具。","{""abrt-desktop"": ""default"", ""crash"": ""default"", ""libreport-gtk"": ""default"", ""abrt-gui"": ""optional"", ""bltk"": ""optional"", ""oprofile-gui"": ""optional"", ""pcp-gui"": ""optional"", ""tuna"": ""optional"", ""xrestop"": ""optional""}",false,false
"Development Tools,开发工具","A basic development environment.,基本开发环境。","{""autoconf"": ""mandatory"", ""automake"": ""mandatory"", ""binutils"": ""mandatory"", ""bison"": ""mandatory"", ""flex"": ""mandatory"", ""gcc"": ""mandatory"", ""gcc-c++"": ""mandatory"", ""gettext"": ""mandatory"", ""libtool"": ""mandatory"", ""make"": ""mandatory"", ""patch"": ""mandatory"", ""pkgconfig"": ""mandatory"", ""redhat-rpm-config"": ""mandatory"", ""rpm-build"": ""mandatory"", ""rpm-sign"": ""mandatory"", ""byacc"": ""default"", ""cscope"": ""default"", ""ctags"": ""default"", ""diffstat"": ""default"", ""doxygen"": ""default"", ""elfutils"": ""default"", ""gcc-gfortran"": ""default"", ""git"": ""default"", ""indent"": ""default"", ""intltool"": ""default"", ""patchutils"": ""default"", ""rcs"": ""default"", ""subversion"": ""default"", ""swig"": ""default"", ""systemtap"": ""default"", ""ant"": ""optional"", ""babel"": ""optional"", ""bzr"": ""optional"", ""chrpath"": ""optional"", ""cmake"": ""optional"", ""compat-gcc-44"": ""optional"", ""compat-gcc-44-c++"": ""optional"", ""cvs"": ""optional"", ""dejagnu"": ""optional"", ""ElectricFence"": ""optional"", ""expect"": ""optional"", ""gcc-gnat"": ""optional"", ""gcc-objc"": ""optional"", ""gcc-objc++"": ""optional"", ""imake"": ""optional"", ""javapackages-tools"": ""optional"", ""ksc"": ""optional"", ""mercurial"": ""optional"", ""mod_dav_svn"": ""optional"", ""nasm"": ""optional"", ""perltidy"": ""optional"", ""rpmdevtools"": ""optional"", ""rpmlint"": ""optional"", ""systemtap-sdt-devel"": ""optional"", ""systemtap-server"": ""optional""}",false,true
"Dial-up Networking Support,拨号网络支持","Tools for connecting via WWAN, PPP or ISDN.,通过 WWAN、PPP 或者 ISDN 连接的工具。","{""lrzsz"": ""mandatory"", ""ModemManager"": ""mandatory"", ""NetworkManager-adsl"": ""mandatory"", ""NetworkManager-ppp"": ""mandatory"", ""ppp"": ""mandatory"", ""usb_modeswitch-data"": ""mandatory"", ""wvdial"": ""mandatory"", ""efax"": ""optional"", ""isdn4k-utils"": ""optional"", ""minicom"": ""optional"", ""pptp"": ""optional"", ""rp-pppoe"": ""optional""}",false,false
"Directory Client,目录客户端","Clients for integration into a network managed by a directory service.,用于整合到使用目录服务管理的网络的客户端。","{""adcli"": ""default"", ""certmonger"": ""default"", ""ipa-client"": ""default"", ""oddjob-mkhomedir"": ""default"", ""realmd"": ""default"", ""sssd"": ""default"", ""clevis-dracut"": ""optional"", ""clevis-udisks2"": ""optional"", ""krb5-pkinit"": ""optional"", ""krb5-workstation"": ""optional"", ""ldapjdk"": ""optional"", ""luksmeta"": ""optional"", ""nscd"": ""optional"", ""nss-pam-ldapd"": ""optional"", ""openldap-clients"": ""optional"", ""samba-winbind"": ""optional"", ""samba-winbind-clients"": ""optional"", ""sssd-dbus"": ""optional"", ""sssd-kcm"": ""optional"", ""sssd-polkit-rules"": ""optional"", ""sssd-tools"": ""optional"", ""sssd-winbind-idmap"": ""optional""}",false,false
"Directory Server,目录服务器","Machine and user identity servers.,机器和用户识别服务器。","{""krb5-server"": ""optional"", ""krb5-server-ldap"": ""optional"", ""migrationtools"": ""optional"", ""mod_session"": ""optional"", ""python-pyasn1-modules"": ""optional"", ""samba"": ""optional""}",false,false
"DNS Name Server,DNS 名称服务器","This package group allows you to run a DNS name server (BIND) on the system.,该软件包组允许您在系统上运行 DNS 名称服务器(BIND)。","{""bind"": ""default"", ""bind-chroot"": ""default"", ""bind-dyndb-ldap"": ""optional"", ""unbound"": ""optional""}",false,false
"Emacs,Emacs","The GNU Emacs extensible, customizable, text editor.,GNU Emacs 可扩展、可自定义的文本编辑器。","{""emacs"": ""mandatory"", ""ctags-etags"": ""optional"", ""emacs-auctex"": ""optional"", ""emacs-gnuplot"": ""optional"", ""emacs-nox"": ""optional"", ""emacs-php-mode"": ""optional""}",false,false
"File and Storage Server,文件及存储服务器","CIFS, SMB, NFS, iSCSI, iSER, and iSNS network storage server.,CIFS, SMB, NFS, iSCSI, iSER 及 iSNS 网络存储服务器。","{""cifs-utils"": ""mandatory"", ""gssproxy"": ""mandatory"", ""nfs-utils"": ""mandatory"", ""nfs4-acl-tools"": ""mandatory"", ""samba"": ""mandatory"", ""targetcli"": ""mandatory"", ""targetd"": ""mandatory"", ""isns-utils"": ""optional"", ""nfsometer"": ""optional"", ""nfstest"": ""optional""}",false,false
